positive_prob,confidence,negative_prob,sentiment
0.470222,0.404441,0.529778,1
0.0779804,0.82671,0.92202,0
0.318489,0.292246,0.681511,0
0.13075,0.709445,0.86925,0
0.274317,0.390407,0.725683,0
0.84438,0.654177,0.15562,2
0.543986,0.120277,0.456014,1
0.176529,0.607714,0.823471,0
0.548044,0.0391281,0.451956,1
0.479102,0.582032,0.520898,1
0.0920953,0.795344,0.907905,0
0.22919,0.49069,0.77081,0
0.504046,0.919075,0.495954,1
0.717643,0.372539,0.282357,2
0.819203,0.598228,0.180797,2
0.637559,0.194576,0.362441,2
0.0490433,0.891015,0.950957,0
0.832577,0.627949,0.167423,2
0.247294,0.450459,0.752707,0
0.00496549,0.988966,0.995035,0
0.255993,0.431127,0.744007,0
0.251472,0.441173,0.748528,0
0.518174,0.636518,0.481826,1
0.376352,0.163663,0.623648,0
0.872324,0.716276,0.127676,2
0.558214,0.018254,0.441786,2
0.201046,0.553231,0.798954,0
0.842952,0.651005,0.157048,2
0.206483,0.541148,0.793517,0
0.743223,0.429385,0.256777,2
0.904652,0.788116,0.0953476,2
0.509896,0.802082,0.490104,1
0.543976,0.120478,0.456024,1
0.134722,0.700618,0.865278,0
0.752945,0.450989,0.247055,2
0.0637016,0.858441,0.936298,0
0.923619,0.830264,0.0763814,2
0.950866,0.890813,0.049134,2
0.00175077,0.996109,0.998249,0
0.0756401,0.831911,0.92436,0
0.689704,0.310454,0.310296,2
0.186307,0.585985,0.813693,0
0.142132,0.684152,0.857868,0
0.0535168,0.881074,0.946483,0
0.560297,0.0228833,0.439702,2
0.0997519,0.778329,0.900248,0
0.024277,0.946051,0.975723,0
0.103441,0.77013,0.896559,0
0.766596,0.481324,0.233404,2
0.0459453,0.897899,0.954055,0
0.145013,0.677749,0.854987,0
0.50881,0.823803,0.49119,1
0.443073,0.0153924,0.556927,0
0.0121899,0.972911,0.98781,0
0.239335,0.468145,0.760665,0
0.158089,0.648692,0.841911,0
0.27535,0.388112,0.72465,0
0.00835487,0.981434,0.991645,0
0.772287,0.493972,0.227713,2
0.369175,0.179612,0.630825,0
0.00370326,0.991771,0.996297,0
0.00997559,0.977832,0.990024,0
0.302596,0.327565,0.697404,0
0.782461,0.51658,0.217539,2
0.140267,0.688295,0.859733,0
0.103746,0.769453,0.896254,0
0.0564979,0.874449,0.943502,0
0.0829958,0.815565,0.917004,0
0.584987,0.077749,0.415013,2
0.279497,0.378896,0.720503,0
0.318489,0.292247,0.681511,0
0.720437,0.378748,0.279563,2
0.112829,0.74927,0.887171,0
0.243411,0.459087,0.756589,0
0.808442,0.574315,0.191558,2
0.0351566,0.921874,0.964844,0
0.00101063,0.997754,0.998989,0
0.639093,0.197985,0.360907,2
0.104599,0.767557,0.895401,0
0.138894,0.691347,0.861106,0
0.31965,0.289667,0.68035,0
0.0411836,0.908481,0.958816,0
0.00288377,0.993592,0.997116,0
0.222012,0.506641,0.777988,0
0.722398,0.383107,0.277602,2
0.0987278,0.780605,0.901272,0
0.754858,0.455239,0.245142,2
0.226803,0.495993,0.773197,0
0.0305047,0.932212,0.969495,0
0.586631,0.0814013,0.413369,2
0.724743,0.388317,0.275257,2
0.0411215,0.908619,0.958878,0
0.117851,0.738108,0.882149,0
0.268178,0.404049,0.731822,0
